id,name,alias,name_en,category,kcal,protein,fat,carb,sodium
A0100101,大麥仁,"小薏仁,洋薏仁,珍珠薏仁",Barley,穀物類,365.0,8.6,1.6,77.1,13.0
A0110101,大麥片,,Barley flake; Barley chip,穀物類,365.0,8.6,1.8,76.7,7.0
A0120101,大麥仁粉,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",,穀物類,389.0,7.1,1.3,85.0,10.0
A0200101,小米,,Foxtail-millet; Millet,穀物類,370.0,11.3,3.7,71.7,1.0
A0200201,糯小米,,Glutinous foxtail-millet; Glutinous millet,穀物類,360.0,12.5,1.5,72.5,1.0
A0300101,小麥,,Wheat,穀物類,362.0,14.1,2.6,69.2,1.0
A0310101,小麥胚芽,,Wheat germ,穀物類,417.0,31.4,11.6,47.9,3.0
A0320101,去筋麵粉,澄粉,Non-glutinous flour,穀物類,355.0,0.2,0.1,85.7,29.0
A0320202,低筋麵粉,,Low-gluten flour; Cake flour; Patent flour,穀物類,364.0,8.1,1.2,78.2,1.0
A0320301,中筋麵粉,,Medium-gluten flour; Wheat flour: medium protein,穀物類,361.0,11.5,1.3,74.1,4.0
A0320404,高筋麵粉,,High-gluten flour; Seat of honor flour,穀物類,362.0,12.9,1.2,73.1,1.0
A0320405,高筋麵粉(2021年取樣),強力粉,High-gluten flour,穀物類,362.0,13.8,1.3,72.2,1.0
A0320505,全麥麵粉,,Whole wheat flour,穀物類,359.0,13.0,1.7,71.4,2.0
A0320601,雜糧中筋麵粉,,,穀物類,361.0,13.1,2.3,72.0,2.0
A0320702,雜糧高筋麵粉,,,穀物類,360.0,14.3,2.8,69.6,2.0
A0400101,白玉米,,White corn,穀物類,66.0,3.4,0.6,11.5,5.0
A0400201,紫玉米,,Corn; Maize,穀物類,168.0,4.5,1.0,34.4,1.0
A0400301,甜玉米,"玉米,黃玉米",Corn; Maize; Sweat corn,穀物類,107.0,3.3,2.5,17.8,2.0
A0400401,雙色水果玉米,"玉米,黃玉米",Corn; Maize; Sweat corn (Organic),穀物類,105.0,3.1,2.6,17.5,0.0
A0400501,糯玉米,,Corn; Maize,穀物類,172.0,4.7,1.9,33.4,1.0
A0400601,冷凍玉米粒,,Corn kernal; Maize kernal; Sweat whole kernal corn,穀物類,174.0,3.1,8.2,22.5,8.0
A0410101,乾玉米粒,,Corn kernal; Maize kernal; for popcorn,穀物類,373.0,10.9,3.9,72.2,1.0
A0410201,玉米胚芽,"玉米仁,珍珠米",Corn germ,穀物類,366.0,7.0,0.9,80.3,1.0
A0420101,玉米粉,,Corn starch; Maize starch,穀物類,369.0,0.3,0.4,88.3,14.0
A05001,秈米平均值,"在來米,長米",Long grain rice,穀物類,357.0,7.8,0.9,77.4,2.0
A0500101,秈米(台中在來2號),"在來米,長米",Long grain rice,穀物類,355.0,8.2,1.0,76.3,2.0
A0500102,秈米(台中秈10號),"在來米,長米","Long grain rice,Taichung Sen No. 10",穀物類,358.0,7.4,0.7,78.5,2.0
A0500103,秈米(台中秈10號)(2024年取樣),"在來米,長米","Long grain rice,Taichung Sen No. 10",穀物類,357.0,6.1,0.6,79.8,0.0
A05002,稉米平均值,"蓬萊米,圓米",Short grain rice,穀物類,354.0,7.0,0.7,77.8,2.0
A0500201,稉米(台中189號),"蓬萊米,圓米",Short grain rice,穀物類,356.0,7.5,0.6,78.1,3.0
A0500202,稉米(台南11號),"蓬萊米,圓米",Short grain rice,穀物類,348.0,6.7,0.5,77.2,2.0
A0500203,稉米(台稉2號),"蓬萊米,圓米",Short grain rice,穀物類,357.0,7.2,0.5,78.7,2.0
A0500204,稉米(台稉8號),"蓬萊米,圓米",Short grain rice,穀物類,355.0,6.9,0.4,78.8,2.0
A0500205,稉米(台稉9號),"蓬萊米,圓米",Short grain rice,穀物類,353.0,6.6,0.6,78.2,2.0
A0500206,稉米(台農71號),"蓬萊米,圓米,益全香米",Short grain rice: Yih-Chuan aromatic rice,穀物類,357.0,7.9,0.6,77.8,2.0
A0500207,稉米(高雄139號),"蓬萊米,圓米",Short grain rice,穀物類,357.0,6.1,1.2,78.5,2.0
A0500208,稉米(高雄142號),"蓬萊米,圓米",Short grain rice,穀物類,353.0,7.0,0.6,77.7,4.0
A0500209,稉米(高雄145號),,Short grain rice,穀物類,364.0,6.8,1.0,80.0,1.0
A0500210,稉米(高雄139號)(2021年取樣),"蓬萊米,圓米",Rice (Kaohsiung 139),穀物類,352.0,5.7,0.5,79.2,1.0
A0500301,越光米,"蓬萊米,圓米",Rice Tainan 16,穀物類,340.0,7.6,1.0,73.3,1.0
A0500302,越光米(台南16號)(2024年取樣),"蓬萊米,圓米",Rice Tainan 16,穀物類,356.0,6.9,0.3,79.1,1.0
A0500401,秈型糯米(台中糯70號),長糯米,White glutinous rice: long-grain,穀物類,361.0,7.9,0.9,78.4,1.0
A05005,稉型糯米平均值,圓糯米,"White glutinous rice, short-grain",穀物類,358.0,8.3,0.8,77.4,3.0
A0500501,稉型糯米,圓糯米,"White glutinous rice, short-grain",穀物類,359.0,8.4,0.5,78.0,2.0
A0500502,稉型糯米(台稉糯1號),圓糯米,"White glutinous rice, short-grain",穀物類,358.0,8.2,1.1,76.8,4.0
A0500601,野生紅米,,Red rice,穀物類,360.0,7.7,2.6,74.7,8.0
A0500701,紅糯糙米,,Red glutinous rice,穀物類,362.0,9.9,2.8,72.6,1.0
A0500801,黑秈糯糙米,"黑糯米,紫糯米,紫米,貢米,長生米","Black glutinous rice, long-grain",穀物類,357.0,10.1,3.5,70.1,3.0
A0500901,胚芽秈米(台中秈10號),,Germ rice; Rice with germ; Milled rice with embryo,穀物類,363.0,8.3,2.1,76.1,2.0
A05010,胚芽稉米平均值,,Germ rice; Rice with germ; Milled rice with embryo,穀物類,362.0,8.2,1.6,76.8,1.0
A0501001,胚芽稉米(台稉10號）,,Germ rice; Rice with germ; Milled rice with embryo,穀物類,360.0,7.3,1.7,77.2,1.0
A0501002,胚芽稉米(台稉9號),,Germ rice; Rice with germ; Milled rice with embryo,穀物類,363.0,9.1,1.5,76.5,2.0
A05011,發芽稉米平均值,發芽糙米,Sprout rice,穀物類,355.0,7.8,2.3,74.0,3.0
A0501103,發芽稉米(台稉71號),"發芽糙米,益全香米發芽米",Sprout rice,穀物類,357.0,7.4,2.8,73.9,3.0
A0501104,發芽稉米(台稉9號）,發芽糙米,Sprout rice,穀物類,353.0,8.2,1.9,74.1,3.0
A0501201,糙秈米,糙米,Brown rice,穀物類,359.0,7.3,3.2,73.6,4.0
A05013,糙稉米平均值,糙米,Brown rice,穀物類,364.0,7.4,2.3,76.6,3.0
A0501301,糙稉米(台稉71號),益全香米糙米,Brown rice,穀物類,360.0,9.0,2.6,73.6,3.0
A0501302,糙稉米(台稉9號),糙米,Brown rice,穀物類,364.0,7.4,2.3,76.6,3.0
A0501401,黑秈糙米,黑米,black kerneled rice,穀物類,363.0,7.5,3.5,74.0,1.0
A0510101,加鈣米,,Short grain rice: calcium enriched,穀物類,355.0,7.4,0.7,77.7,8.0
A0510201,高纖米,高纖蓬萊米,Short grain rice,穀物類,363.0,8.3,2.5,75.2,3.0
A0510301,五穀米,,,穀物類,358.0,8.7,2.9,72.9,2.0
A0510401,米胚芽,,Rice germ,穀物類,391.0,17.0,12.7,52.9,5.0
A0520201,秈米粉,在來米粉,Long-grain rice powder,穀物類,363.0,4.2,0.4,83.4,10.0
A0520301,糙米粉,,Brown rice powder,穀物類,393.0,11.3,3.2,78.1,6.0
A0520401,白糯米粉,,White- glutinous rice powder,穀物類,360.0,4.5,0.4,82.3,16.0
A0550601,白飯,,Cooked rice,穀物類,183.0,3.1,0.3,41.0,2.0
A0600101,高梁,,Sorghum; Kao-lian,穀物類,372.0,11.0,3.0,73.6,3.0
A0600201,糯高梁,,Sorghum: glutinous; Kao-lian: glutinous,穀物類,362.0,10.7,1.0,75.7,0.0
A0710101,黑麥片,,Rye,穀物類,359.0,7.8,1.2,77.3,1.0
A0800101,燕麥,,Oat,穀物類,406.0,10.9,10.2,67.4,4.0
A0810101,燕麥片,,Oatmeal,穀物類,393.0,12.3,9.7,64.1,3.0
A0810201,即食燕麥片,,Instant oatmeal,穀物類,406.0,11.9,9.6,67.9,3.0
A0900101,蕎麥(甜蕎),三角米,Buckwheat,穀物類,361.0,11.0,2.9,71.3,2.0
A1000101,薏仁,"薏仁,薏苡仁",Adlay; Job's tears,穀物類,378.0,14.1,6.1,66.2,2.0
A1000201,糙薏仁,紅薏仁,Adlay; Job's tears,穀物類,387.0,13.7,7.4,65.9,1.0
A1020101,薏仁粉,,Adlay powder; Job's tears powder,穀物類,395.0,10.9,3.5,80.0,11.0
A1100101,紅藜麥,,Red quinoa,穀物類,379.0,12.1,6.7,66.8,2.0
A1100201,台灣藜(紅)(帶殼),"藜,赤藜,紫藜,紅心藜,紅藜,食用藜",Red Quinoa,穀物類,386.0,14.9,8.5,62.3,1.0
B0100101,淮山,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam,澱粉類,363.0,5.3,0.3,82.4,11.0
B01002,山藥平均值,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam,澱粉類,85.0,2.8,0.1,17.8,4.0
B0100201,山藥(二刺),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Ell-Tsyh,澱粉類,89.0,2.7,0.1,18.9,2.0
B0100202,山藥(大汕1號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Da-Shan 1,澱粉類,80.0,2.4,0.1,17.0,4.0
B0100203,山藥(大汕3號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Da-Shen 3,澱粉類,73.0,2.6,0.1,15.0,2.0
B0100204,山藥(大刺),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Da-Tsyh,澱粉類,85.0,3.5,0.1,17.1,8.0
B0100205,山藥(中國長品),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Tong-Gwo-Taang-Piin,澱粉類,74.0,2.5,0.1,15.5,1.0
B0100206,山藥(台農1號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: TNu 1,澱粉類,93.0,2.6,0.1,19.9,1.0
B0100207,山藥(台農2號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: TNu 2,澱粉類,95.0,3.2,0.1,19.9,14.0
B0100208,山藥(白皮削),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Bair-Pyi-Shiau,澱粉類,75.0,2.5,0.1,15.7,2.0
B0100209,山藥(尖石原生種),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Jian-Shyr,澱粉類,65.0,3.1,0.1,12.4,3.0
B0100210,山藥(宜蘭原生種),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Yi-Lan,澱粉類,140.0,4.8,0.2,29.1,4.0
B0100211,山藥(花蓮3號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Hua-Lian 3,澱粉類,93.0,1.7,0.1,20.9,6.0
B0100212,山藥(青森),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Ching-Sen,澱粉類,94.0,2.6,0.2,19.9,4.0
B0100213,山藥(高田),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Gau-Tyan,澱粉類,71.0,3.1,0.1,14.0,4.0
B0100214,山藥(白肉),日本山藥,,澱粉類,69.0,2.1,0.1,14.4,1.0
B0200301,紫山藥,"山薯,田薯,薯蕷,長薯,血薯;淮山(加工後)",Chinese yam: Horng-Shuu,澱粉類,92.0,2.8,0.1,19.6,3.0
B0320101,木薯粉,樹薯粉,Cassava starch; Tapioca,澱粉類,362.0,0.1,0.2,87.3,1.0
B0400101,白皮甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯",Sweet potato,澱粉類,119.0,1.3,0.1,27.5,73.0
B0400201,菱角牛奶甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯",Sweet potato,澱粉類,133.0,1.9,0.3,29.9,85.0
B0400301,芋心甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,紫心甘薯,芋頭(仔)番薯",Sweet potato,澱粉類,122.0,1.1,0.1,28.5,87.0
B0400401,紅肉甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯",Sweet potato,澱粉類,114.0,1.8,0.2,25.4,42.0
B0400501,金時甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯",Sweet potato,澱粉類,138.0,1.6,0.4,31.3,45.0
B0400601,黃肉甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯",Sweet potato,澱粉類,121.0,1.3,0.2,27.8,51.0
B0420101,甘藷粉,"甘薯粉,蕃薯粉,甜薯粉,地瓜粉",Sweet potato starch,澱粉類,358.0,1.0,0.2,85.5,19.0
B0450101,油炸脫水甘藷,,"Sweet potato: fried, dried",澱粉類,525.0,2.3,30.1,61.2,305.0
B0500101,芋頭,"芋頭,芋艿,芋乃,芋仔,青芋,土芝",Taro; Dasheen; Cocoyam; Eddoe,澱粉類,128.0,2.5,1.1,26.4,5.0
B0500201,小芋頭(山芋),"芋頭,芋艿,芋乃,芋仔,青芋,土芝",Taro; Dasheen; Cocoyam; Eddoe,澱粉類,113.0,2.3,1.2,22.8,5.0
B0500301,檳榔心芋,"芋頭,芋艿,芋乃,芋仔,青芋,土芝",Taro; Dasheen;Cocoyam; Eddoe,澱粉類,121.0,1.3,0.0,28.1,2.0
B0500302,檳榔心芋(2021年取樣),"芋頭,芋艿,芋乃,芋仔,青芋,土芝",Taro,澱粉類,107.0,1.1,0.0,24.8,0.0
B0500401,冷凍芋頭塊,,"Taro: Frozen, chunk",澱粉類,147.0,2.2,4.3,24.9,15.0
B0520101,芋頭粉,,Taro starch;Dasheen starch;  Cocoyam starch,澱粉類,333.0,0.1,0.0,83.1,34.0
B0600101,豆薯,"刈薯,涼薯,葛薯,沙葛,地瓜,三角薯",Jicama; Yam bean,澱粉類,31.0,0.7,0.1,6.8,4.0
B0700101,紅馬鈴薯(粉紅珍珠馬鈴薯),"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",Potato; White potato; Irish potato,澱粉類,66.0,1.6,0.0,14.4,2.0
B0700201,馬鈴薯,"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",Potato; White potato; Irish potato,澱粉類,77.0,2.6,0.2,15.8,3.0
B0700202,馬鈴薯(2022年取樣),"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",Potato; White potato; Irish potato,澱粉類,70.0,2.3,0.0,14.9,2.0
B0700301,小馬鈴薯(珍珠馬鈴薯),"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",Potato; White potato; Irish potato,澱粉類,59.0,1.7,0.0,12.8,7.0
B0720101,馬鈴薯粉,太白粉,Potato starch; Tapioca,澱粉類,346.0,0.1,0.1,83.8,8.0
B0800101,荸薺,"水栗,地栗,馬蹄,馬薯,烏芋,水燈心草,海蔥仔,水蔥仔",Chinese water chestnut; Water chestnut,澱粉類,67.0,1.7,0.1,14.5,21.0
B0820101,荸薺粉,"水栗粉,地栗粉,馬蹄粉,馬薯粉,烏芋粉,水燈心草粉,海蔥仔粉,水蔥仔粉",Chinese water chestnut starch,澱粉類,365.0,0.4,0.2,87.8,4.0
B0900101,蓮藕,"蓮根,藕,芙蕖,荷花藕",Lotus root; Indian lotus tuber; East Indian lotus,澱粉類,65.0,2.0,0.2,13.5,16.0
B0900201,熟蓮藕,"蓮根,藕,芙蕖,荷花藕",Lotus root; Indian lotus tuber;East Indian lotus,澱粉類,50.0,1.1,0.1,11.0,29.0
